0	0	60
0.01667	0.001	60
0.05001	0.002	60
0.1	0.003	60
0.1667	0.004	60
0.2501	0.005	60
0.3501	0.006	60
0.4669	0.007	60
0.6003	0.008	60
0.7504	0.009	60
0.9172	0.01	60
1.101	0.011	60
1.301	0.012	60
1.518	0.013	60
1.752	0.014	60
2.002	0.015	60
2.269	0.016	60
2.553	0.017	60
2.853	0.018	60
3.17	0.019	60
3.504	0.02	60
3.855	0.021	60
4.222	0.022	60
4.606	0.023	60
5.007	0.024	60
5.425	0.025	60
5.859	0.026	60
6.31	0.027	60
6.778	0.028	60
7.263	0.029	60
7.764	0.03	60
8.282	0.031	60
8.817	0.032	60
9.369	0.033	60
9.937	0.034	60
10.52	0.035	60
11.12	0.036	60
11.74	0.037	60
12.38	0.038	60
13.03	0.039	60
13.7	0.04	60
14.39	0.041	60
15.09	0.042	60
15.81	0.043	60
16.54	0.044	60
17.3	0.045	60
18.07	0.046	60
18.85	0.047	60
19.66	0.048	60
20.48	0.049	60
21.31	0.05	60
22.17	0.051	60
23.04	0.052	60
23.93	0.053	60
24.83	0.054	60
25.75	0.055	60
26.69	0.056	60
27.65	0.057	60
28.62	0.058	60
29.61	0.059	60
30.61	0.06	60
31.63	0.061	60
32.67	0.062	60
33.73	0.063	60
34.8	0.064	60
35.89	0.065	60
37	0.066	60
38.12	0.067	60
39.26	0.068	60
40.42	0.069	60
41.59	0.07	60
42.78	0.071	60
43.99	0.072	60
45.22	0.073	60
46.46	0.074	60
47.72	0.075	60
48.99	0.076	60
50.28	0.077	60
51.59	0.078	60
52.92	0.079	60
54.26	0.08	60
55.62	0.081	60
57	0.082	60
58.39	0.083	60
59.8	0.084	60
61.23	0.085	60
